descripcion,categoria
MIFARMA MX,Salud
PETROPERU CHILE,Transporte
NRO OP 748817 FALABELLA,Compras
ESTACIONAMIENTO*896761,Transporte
PAGO SERV SUBTE BUENOS AIRES,Transporte
YPF AUTORIZ 902948,Transporte
PAGO ONLINE ENEX,Transporte
CARGO PLAZAS EXITO ROPA,Compras
NRO OP 497191 DENTAL PLUS,Salud
LA REBAJA VIRTUAL BUENOS AIRES,Salud
COD ANTICUCHOS DON JORGE,Alimentación
COMPRA WEB MAKRO,Alimentación
FARMACIA INKAFARMA LIMA,Salud
COMPRA COURSERA GUADALAJARA,Educación
NRO OP 573316 BEMBOS,Alimentación
PLAZA VESTIR 26/07/24,Compras
PAGO ONLINE UBER TRIP,Transporte
PAGO SERV CHINA TOWN,Alimentación
BOLETERIA JOINNUS MASTERCARD,Ocio
SANCOR SEGUROS COD370632,Servicios
COMPRA TC UNIVERSIDAD ANDES,Educación
REF PARQUE EXPLORA,Ocio
COMPRA INTL CFE,Servicios
PAGO ONLINE DOMINOS PIZZA,Alimentación
PAGO ONLINE VIVANDA,Alimentación
PAGO SERV LABORATORIO ROE,Salud
CARGO CREPES WAFFLES,Alimentación
RETIRO DENTAL PLUS,Salud
PLIN*ADRIÁN,Otros
BITEL #537001,Servicios
COMPRA ML*COMPRA,Compras
COMPRA CROSSFIT BOX SANTIAGO,Ocio
SEGUROS BOLIVAR LATAM,Servicios
DAVIPLATA*MOISÉS,Servicios
EXITO MIRAFLORES,Alimentación
DEBITO AUTOMATICO PAGO ARRIENDO,Vivienda
VTR APROB546943,Servicios
MODO*RAÚL,Servicios
TERPEL TARJETA 8334,Transporte
DEB TEMU,Compras
FARMACIA BENAVIDES QR,Salud
TOTTUS LATAM,Alimentación
PAGO SERV KFC,Alimentación
COMPRA TAXI DATUM SANTIAGO,Transporte
COMPRA INTL STARBUCKS,Alimentación
DEBITO AUTOMATICO PANADERIA SAN JORGE,Alimentación
SIT MEDELLIN LIMA,Transporte
JOCKEY PLAZA QR,Compras
COMPRA INTL CLARO,Servicios
ML*COMPRA LATAM,Compras
PRIMAX MIRAFLORES,Transporte
DEB LIBRERIA CRISOL,Educación
DAVIPLATA*ANGELITA 422602,Servicios
PLAZA VEA SOP AUT831486,Compras
COMISION MANTENIMIENTO CUENTA AUTORIZ 685140,Servicios
PLAZA VEA #676073,Alimentación
TELCEL*185774,Servicios
WEB PEAJE RUTA,Transporte
WEB PEM,Servicios
CUOTA CONDOMINIO AUT046048,Vivienda
TRANSF A SODIMAC CONSTRUCCION,Vivienda
MAKRO REF996067,Alimentación
COMPRA SEARS MENDOZA,Compras
REPSOL STORE,Transporte
PARQUE EXPLORA VISA,Ocio
COMPRA TC PEAJE RUTA,Transporte
COD VEA SUPERMERCADO,Alimentación
TOTTUS AUT601675,Alimentación
COMISION INTERBANCARIA*182917,Servicios
WEB PRIMAX,Transporte
ONLIN EOXXO,Alimentación
JUMBO STORE,Alimentación
ANTICUCHOS DON JORGE NUNOA,Alimentación
PAGO SERV JUMBO,Alimentación
COMPRA TC ALLIANZ SEGUROS,Servicios
ADMINISTRACION EDIFICIO 08/02,Vivienda
COMPRA POS FARMACIAS DEL AHORRO,Salud
CARGO PEDIDOSYA,Alimentación
CREDITO VIVIENDA TARJETA 8238,Vivienda
SALCOBRAND #005313,Salud
LIVERPOOL CO,Compras
LUZ DEL SUR AUT628099,Servicios
JUMBO*872078,Alimentación
PAGO SERV UDEMY,Educación
SEARS REF682294,Compras
PAPA JOHNS MIRAFLORES,Alimentación
WEB LA POSITIVA SEGUROS,Servicios
COD PUMA ENERGY,Transporte
ESTACIONAMIENTO AUT063444,Transporte
PAGO ONLINE SORIANA,Alimentación
TRANSMILENIO AUTORIZ 676123,Transporte
DOMINOS PIZZA TARJETA 4007,Alimentación
PAGO HIPOTECARIO AUTORIZ 628472,Vivienda
COMPRA MAX.COM MAR DEL PLATA,Ocio
RETIRO UNIMARC,Alimentación
ADMINISTRACION CONJUNTO RESIDENCIAL AUTORIZ 776846,Vivienda
PAGO ANTICUCHOS DON JORGE,Alimentación
TRX PULL BEAR,Compras
TRX PAYLESS,Compras
PAGO SERV UBER TRIP,Transporte
COMPRA CREDITO VIVIENDA TOLUCA,Vivienda
DEBITO AUTOMATICO ENEL,Servicios
PLIN*CRISTIAN 780181,Alimentación
COMPRA TC METRO SANTIAGO,Transporte
LABORATORIO ROE MIRAFLORES,Salud
APP MASSIMO DUTTI,Compras
WEB LA COMER,Alimentación
PARQUE DE LAS LEYENDAS COD679729,Ocio
EBAY AUTORIZ 760210,Compras
PAGO ONLINE DISCO,Alimentación
DEB PLATZI,Educación
INSTITUTO CIBERTEC TARJETA 4316,Educación
ZARA QR,Compras
NRO OP 368518 ALIEXPRESS,Compras
SAGA FALABELLA CUSCO,Compras
LA COMER LATAM,Alimentación
WEB COURSERA,Educación
SHEIN REF021317,Compras
COMPRA EDITORIAL SANTILLANA,Educación
COMPRA TEMU,Compras
WEB CARREFOUR,Alimentación
TRANSF A PARQUE DE LAS LEYENDAS,Ocio
PAGO PAGO A TERCEROS,Otros
PAGO SERV AGUAS ANDINAS,Servicios
ADIDAS STORE MIRAFLORES,Compras
LA POLAR TARJETA 8967,Compras
GASCO TARJETA 4966,Servicios
UBER TRIP COD097566,Transporte
COMPRA POS PRIMAX,Transporte
CARGO METRO,Alimentación
LABORATORIO ROE TARJETA 3079,Salud
SANTA FE MALL MASTERCARD,Compras
CLARO SHOP ENE,Compras
NRO OP 239999 7 ELEVEN,Alimentación
COMPRA POS SALCOBRAND,Salud
COMPRA WEB STARBUCKS,Alimentación
COD LIBRERIA GANDHI,Educación
NEQUI*COSME,Alimentación
RETIRO AGUAS ANDINAS,Servicios
FERIA DEL LIBRO 16MAY,Ocio
COMPRA WEB COPPEL,Compras
COMPRA TC TOTTUS,Alimentación
PAGO ONLINE UDEMY,Educación
DEBITO AUTOMATICO JOCKEY PLAZA,Compras
MERCADO PAGO*XIOMARA,Alimentación
INSTITUTO CIBERTEC SAN ISIDRO,Educación
ENTEL.COM,Servicios
PAGO SERV MANTENIMIENTO TARJETA,Servicios
DB AVIANCA,Transporte
PAGO ONLINE FARMACIA INKAFARMA,Salud
COMPRA LA POLAR,Compras
BATA MASTERCARD,Compras
SEARS NUNOA,Compras
UBER EATS MASTERCARD,Alimentación
SANTA FE MALL STORE,Compras
AMAZON COD420061,Compras
COMPRA INTL SUBTE BUENOS AIRES,Transporte
CONCIERTO LIVE NATION QR,Ocio
COD KFC,Alimentación
AMAZON PRIME VIDEO APROB072209,Ocio
COMPRA VEA SUPERMERCADO QUERETARO,Alimentación
MODO*LUNA,Alimentación
APP METRO DE LIMA,Transporte
PUMA ENERGY APROB516992,Transporte
TERPEL MEXICO,Transporte
COMPRA ADMINISTRACION CONJUNTO RESIDENCIAL,Vivienda
COMPRA POS BEMBOS,Alimentación
PAGO ONLINE BEAT,Transporte
MODO*ÁGATA 422118,Servicios
PAGO SERV PAYLESS,Compras
JUMBO SEP,Alimentación
TOTTUS REF178927,Alimentación
ANTICUCHOS DON JORGE TARJETA 0755,Alimentación
MERCADO PAGO*MAXIMIANO,Alimentación
GIRO INTERNACIONAL APROB187979,Otros
POS G500,Transporte
CARGO FARMACIAS DEL AHORRO,Salud
LIVERPOOL APROB022406,Compras
COD SODIMAC CONSTRUCCION,Vivienda
WEB OPTICA LA INES,Salud
LIBRERI AGANDHI APROB007442,Educación
POS TRANSFERENCIA VARIOS,Otros
WEB TRANSFERENCIA VARIOS,Otros
DEBITO AUTOMATICO OLIMPICA,Alimentación
FARMACIA INKAFARMA 06/04,Salud
COMPRA SUBTE BUENOS AIRES PUEBLA,Transporte
NETFLIX.COM TARJETA 4865,Ocio
BATA SAN ISIDRO,Compras
COSTANERA CENTER REF579664,Compras
RETIRO CLARO SHOP,Compras
PARQUE DE LAS LEYENDAS APROB602207,Ocio
COD PLATZI,Educación
LABORATORIO ROE COD290202,Salud
COMPRA WEB AUTOPISTA NORTE,Transporte
MERCADO LIBRE AUTORIZ 307206,Compras
TRX MOVISTAR FIBRA,Servicios
COMPRA NETFLIX.COM NUNOA,Ocio
WEB ENEL,Servicios
PARDOS CHICKEN QR,Alimentación
LINKEDIN LEARNING AUTORIZ 971001,Educación
FERRETERIA EL TORNILLO #634774,Vivienda
TRX CINEPLANET,Ocio
EPM LIMA,Servicios
COMPRA MANTENIMIENTO TARJETA MENDOZA,Servicios
COMPRA WEB DUOLINGO PLUS,Educación
KKFC OP382194,Alimentación
TWITCH QR,Ocio
COD PLAZA NORTE,Compras
MAPFRE SEGUROS COD281969,Servicios
NINTENDO ESHOP CALLAO,Ocio
APPLE TV PLUS*181427,Ocio
LIBRERIA CRISOL AUTORIZ 098157,Educación
NEQUI*SALUD,Servicios
DB PEAJE RUTAS DEL SOL,Transporte
CODENSA 11/08/24,Servicios
PAGO ARRIENDO NOV,Vivienda
CLARO SHOP MASTERCARD,Compras
RETIRO EBAY,Compras
EXITO TARJETA 1486,Alimentación
METRO CDMX MX,Transporte
PAGO SERV IBERDROLA,Servicios
CASA DE CAMBIO*645794,Otros
REF EDESUR,Servicios
DAVIPLATA*DANI 209028,Servicios
AEROMEXICO QR,Transporte
WEB MIFARMA,Salud
PAGO ONLINE BODYTECH GYM,Ocio
MODO*CAYETANO,Servicios
DIA.COM,Alimentación
APPLE.COM OP164284,Compras
PLAZAS EXITO ROPA*570768,Compras
PAGO ARRIENDO TARJETA 2339,Vivienda
BURGER KING TARJETA 9942,Alimentación
DIA COD231748,Alimentación
PAGO SERV CROSSFIT BOX,Ocio
REF CREES WAFFLES,Alimentación
TRX BOLETERIA JOINNUS,Ocio
COMPRA WEB INMOBILIARIA CENTURY21,Vivienda
KARAOKE BOX QR,Ocio
COMPRA TC CINEPOLIS,Ocio
RIMAC SEGUROS MASTERCARD,Servicios
DOMINOS PIZZA.COM,Alimentación
TEATRO MUNICIPAL 13-04-2024,Ocio
AVIANCA PERU,Transporte
COMPRA PARQUE DE LAS LEYENDAS CALI,Ocio
PAGO ONLINE 7 ELEVEN,Alimentación
COMPRA BERSHKA BUCARAMANGA,Compras
ONLINE DENTAL PLUS,Salud
ONLINE SAGA FALABELLA,Compras
MIFARMA ARGENTINA,Salud
TRANSF A GIRO INTERNACIONAL,Otros
NRO OP 154959 SIT MEDELLIN,Transporte
NORKYS JUL,Alimentación
NORKYS OP072248,Alimentación
PAPA JOHNS TARJETA 4181,Alimentación
MODO*EVANGELINA,Otros
TOTTUS CHILE ENVIGADO,Alimentación
STARBUCKS 23/08/24,Alimentación
NRO OP 090748 OPTICA GMO,Salud
COMPRA LIVERPOOL BUENOS AIRES,Compras
OPTICA LA INES MASTERCARD,Salud
PAGO ONLINE LA COMER,Alimentación
COMPRA WEB AMZN MKTPLACE,Compras
TRANSF A FRISBY,Alimentación
PAGO A TERCEROS STORE,Otros
CENTRO MEDICO SAN FELIPE LATM,Salud
DB SANTA FE MALL,Compras
WEB HOMECENTER,Vivienda
WEB COOMEVA EPS,Servicios
COMPRA SEARS CALI,Compras
COMPRA WEB COPEC,Transporte
COMPRA POS HOMECENTER,Vivienda
STARBUCKS OP483512,Alimentación
SWISS MEDICAL ROSARIO,Servicios
COMPRA TC AMZN MKTPLACE,Compras
COMPRA D1 CHICLAYO,Alimentación
PAGO ONLINE INSTITUTO IDIOMAS,Educación
YPF ENE,Transporte
LA COMER QR,Alimentación
ONLINE PARQUE EXPLORA,Ocio
LA POLAR OP708033,Compras
TRANSF A HOMECENTER,Vivienda
PANADERIA SAN JORGE VISA,Alimentación
RETIRO CONCIERTO LIVE NATION,Ocio
CFE #758804,Servicios
ONLINE NINTENDO ESHOP,Ocio
DUNKIN APROB197333,Alimentación
FARMACIA GUADALAJARA APROB879026,Salud
NETFLIX.COM MIRAFLORES,Ocio
ADIDAS STORE LIMA,Compras
TRANSANTIAGO STORE,Transporte
COMPRA SWISS MEDICAL BARRANQUILLA,Servicios
PARKING PLUS AGO,Transporte
COMPRA CLINICA RICARDO PALMA,Salud
EASY CONSTRUCCION 04/04/24,Vivienda
HOSPITAL ANGELES LIMA,Salud
G500 LATAM,Transporte
TEMU P,Compras
AMZN MKTPLACE QUERETARO,Compras
CHILIS #426192,Alimentación
DISNEY PLUS LIM,Ocio
PAGO CERTIFICACION QR,Educación
PAGO A TERCEROS REF227121,Otros
COPPEL REF809812,Compras
REF SUBTE BUENOS AIRES,Transporte
EBAY LATAM,Compras
ESTACIONAMIENTO.COM,Transporte
GIRO INTERNACIONAL VALPARAISO,Otros
ANALISIS CLINICOS UNIDOS LATAM,Salud
CREDITO VIVIENDA TARJETA 3264,Vivienda
APP TACO BELL,Alimentación
ONLINE TRANSANTIAGO,Transporte
CARUULLA.COM,Alimentación
CLINICA SANNA REF255189,Salud
BEAT AUTORIZ 370275,Transporte
REF CINEMARK,Ocio
DAVIPLATA*JACINTO 337302,Alimentación
CLARO SHOP COLOMBIA,Compras
POS LABORATORIO ROE,Salud
CARGO CENTRO MEDICO SSAN FELIPE,Salud
RETIRO GAS NATURAL,Servicios
COMPRA POS CUOTA CONDOMINIO,Vivienda
CINEMARK AUT516626,Ocio
SEDAPAL CL,Servicios
CLARO SHOP OP192168,Compras
PAGO SERV CENCOSUD,Compras
MAKRO AUT387649,Alimentación
WEB AADIDAS STORE,Compras
REF ML*COMPRA,Compras
COD EDENOR,Servicios
MERCADO PAGO*LEOPOLDO 752821,Alimentación
ONLINE LA POLAR,Compras
SUBTE BUENOS AIRES AUT374783,Transporte
OXXO COD760708,Alimentación
COMPRA SPOTIFY,Ocio
CINEMARK #779671,Ocio
APGO HIPOTECARIO AUTORIZ 519356,Vivienda
SORIANA CL,Alimentación
PAGO OPTICA LA INES,Salud
MODO*CASANDRA,Otros
REF SPORTLIFE GYM,Ocio
DEB ALIEXPRESS,Compras
APP CARREFOUR,Alimentación
EPM REF223349,Servicios
LUZ DEL SUR APROB251382,Servicios
PAGO PAGO CERTIFICACION,Educación
RIPLEY NOV,Compras
POS CREPES WAFFLES,Alimentación
COD SHEIN,Compras
MCDONALDS 24/01,Alimentación
STARBUCKS AUT866171,Alimentación
PLIN*AITOR 930596,Servicios
KFC*400160,Alimentación
COMPRA POS ML*COMPRA,Compras
CRISTAL AUTORIZ 853862,Alimentación
OECHSLE REF923809,Compras
LA POLAR TARJETA 0102,Compras
POS HBO MAX,Ocio
NRO OP 654193 SANITAS EPS,Servicios
COMPRA TC BATA,Compras
DEBITO AUTOMATICO WOM,Servicios
CRUZ DEL SUR AUT422040,Transporte
SANTA ISABEL LATAM,Alimentación
COMPRA CARULLA BUCARAMANGA,Alimentación
COMPRA COPPEL,Compras
YAPE*BRUNILDA,Servicios
COMPRA TC IZZI TELECOM,Servicios
MERCADO SHOPS SAN ISIDRO,Compras
BODYTECH GYM SAN ISIDRO,Ocio
DEBITO AUTOMATICO SANTA FE MALL,Compras
COMPRA POS PARKING PLUS,Transporte
CARGO G500,Transporte
REF SEGUROS BOLIVAR,Servicios
COMPRA WEB WONG,Alimentación
DEB MOVISTAR FIBRA,Servicios
OXXO STORE,Alimentación
RETIRO SANTA ISABEL,Alimentación
BODYTECH GYM AUTORIZ 451704,Ocio
SANCOR SEGUROS OP916739,Servicios
COMPRA TC FERRETERIA EL TORNILLO,Vivienda
CLINICA SHAIO STORE,Salud
YAPE*FELIPA,Servicios
HOSPITAL ITALIANO APROB313215,Salud
SODIMAC CONSTRUCCION CHILE,Vivienda
PLIN*CALISTA,Servicios
PAGO ONLINE TACO BELL,Alimentación
NRO OP 134605 DEPOSITO VARIOS,Otros
REPSOL MASTERCARD,Transporte
GYM SMARTFIT SAN ISIDRO,Ocio
REPSOL CHILE,Transporte
APP MANTTO CONJUNTO,Vivienda
LIVERPOOL PE,Compras
APPLE.OCM SAN ISIDRO,Compras
REF DENTAL PLUS,Salud
VTR REF042056,Servicios
CLINICA SHAIO LIMA,Salud
REF DONACION ONG,Otros
PULL BEAR AUT349294,Compras
CLARO INTERNET SAN ISIDRO,Servicios
BEAT LIMA,Transporte
SANTA FE MALL COD800744,Compras
COMPRA PRIMAX BOGOTA,Transporte
OPTICA LA INES.COM,Salud
SEARS QR,Compras
LINKEDIN LEARNING AGO,Educación
COMPRA TC SPOTIFY,Ocio
WONG VISA,Alimentación
DEEZER COD968710,Ocio
UBER EATS SAN ISIDRO,Alimentación
DISCOTECA CLUB CL,Ocio
COMPRA INTL CINE COLOMBIA,Ocio
PAYLESS*580324,Compras
FERRETERIA EL TORNILLO REF305354,Vivienda
CRISTAL #259123,Alimentación
CREPES WAFFLES LIMA,Alimentación
AJUSTE CONTABLE.COM,Otros
NRO OP 388987 UNIVERSIDAD ANDES,Educación
DEB RETIRO CAJERO,Otros
CHINA TOWN COD419429,Alimentación
DISCO #799362,Alimentación
COMISION INTERBANCARIA.COM,Servicios
BEAT OP699629,Transporte
IN DRIVE RJUN,Transporte
DEB PARQUE ARAUCO,Compras
CARGO COTO,Alimentación
CARGO METRO CDMX,Transporte
COMPRA WEB TRUPER FERRETERIA,Vivienda
TRX NIINTENDO ESHOP,Ocio
APPLE.COM COD253596,Compras
PARDOS CHICKEN.COM,Alimentación
DB CABIFY,Transporte
AMAZON SAN ISIDRO,Compras
EBAY OP296081,Compras
TRANSF A WOM,Servicios
NRO OP 026866 NIKE STORE,Compras
TRANSF A AGUAS ANDINAS,Servicios
WALMART MX,Alimentación
EASY CONSTRUCCION APROB159333,Vivienda
APPLE.COM APROB240844,Compras
FARMACIA BENAVIDES VISA,Salud
MERCADO SHOPS VALPARAIISO,Compras
WEB DISNEY PLUS,Ocio
NETFLIX.COM.COM,Ocio
COMPRA POS TERPEL,Transporte
PAGO ONLINE NORKYS,Alimentación
NIKE STORE CL,Compras
PAGO ONLINE LIVERPOOL,Compras
DISNEY PLUS 18/12,Ocio
FARMACIAS DEL AHORRO AUTORIZ 195138,Salud
EASY CONSTRUCCION 14-11-2024,Vivienda
PLAZAS EXITO ROPA JUL,Compras
COMPRA CONCIERTO LIVE NATION MONTERREY,Ocio
NRO OP 039341 SANITAS EPS,Servicios
COMPRA ENEX,Transporte
COD PARAMOUNT PLUS,Ocio
PEMEX 17MAAR,Transporte
CUOTA CONDOMINIO MX,Vivienda
CHHEDRAUI STORE,Alimentación
COMPRA POS MOVISTAR FIBRA,Servicios
EDESUR MASTERCARD,Servicios
NEQUI*BERTA,Servicios
CARGO ANALISIS CLINICOS UNIDOS,Salud
UNIVERSIDAD ANDES REF705584,Educación
PAGO PENSION UNIVERSIDAD MASTERCARD,Educación
TRANSF A NORKYS,Alimentación
REF SANITAS EPS,Servicios
PERSONAL ARG 22OCT,Servicios
TRUPER FERRETERIA APROB782354,Vivienda
ANTICUCHOS DON JORGE STORE,Alimentación
LA POSITIVA SEGUROS MASTERCARD,Servicios
MUSEO INTERACTIVO COD483656,Ocio
PAGO ONLINE ARA,Alimentación
COD SEARS,Compras
FARMACIAS DEL AHORRO AR,Salud
PAGO SERV POLLERIA NORKYS,Alimentación
WEB ENVIO WESTERN UNION,Otros
TERPEL REF900738,Transporte
PEMEX STORE,Transporte
COMPRA INTL CHINA WOK,Alimentación
COMPRA LABORATORIO CLINICO ROCHE MONTERREY,Salud
ONLINE CFE,Servicios
BUS EJECUTIVO AUTORIZ 527337,Transporte
MIFARMA QR,Salud
EXITO LATAM,Alimentación
PARDOS CHICKEN LIMA,Alimentación
DEBITO AUTOMATIC TRANSANTIAGO,Transporte
COMPRA SPORTLIFE GYM,Ocio
COPEC SAN ISIDRO,Transporte
HOSPITAL ANGELES COD732197,Salud
PERSONAL ARG STORE,Servicios
UNIMARC VISA,Alimentación
OXXO AUT347579,Alimentación
NRO OP 218770 SANTA FE MALL,Compras
RETIRO VIVANDA,Alimentación
CROSSFIT BOX OP173869,Ocio
COD OPTICA GMO,Salud
TRANSF A ALQUILER DEPARTAMENTO,Vivienda
FARMACIA SIMILARES AUT548711,Salud
CARREFOUR LATAM,Alimentación
ZARA #102473,Compras
ONLINE OECHSLE,Compras
DAVIPLATA*TELMO,Alimentación
LIBRERIA GANDHI STORE,Educación
PEAJE RUTA QR,Transporte
NRO OP 736444 PAGO PENSION COLEGIO,Educación
MAPFRE SEGUROS APROB537687,Servicios
SIT MEDELLIN STORE,Transporte
CHINA TOWN COLOMBIA,Alimentación
BATA QR,Compras
PLAZAS EXITO ROPA COD215988,Compras
COD GAS NATURAL,Servicios
CROSSFIT BOX APROB719343,Ocio
COMPRA INTL PEMEX,Transporte
7 ELEVEN SAN ISIDO,Alimentación
PALACIO DE HIERRO FEB,Compras
SAGA FALABELLA MAIPU,Compras
AT&T MEXICO*621567,Servicios
PAGO XBOX LIVE,Ocio
REF MAEESTRO HOME CENTER,Vivienda
TRANSF A ZARA,Compras
APP PAPA JOHNS,Alimentación
SPORTLIFE GYM AREQUIPA,Ocio
MUNDO MARINO CALI,Ocio
DEB ARA,Alimentación
PLIN*ANUELA,Alimentación
DEB CARREFOUR,Alimentación
SHELL OP108211,Transporte
WEB BERSHKA,Compras
MAKRO MONTERREY,Alimentación
DB CARULLA,Alimentación
CARREFOUR TARJETA 2525,Alimentación
PRIMAX COD874183,Transporte
CARGO CRUZ VERDE,Salud
DEB AMAZON,Compras
TRX COURSERA,Educación
PEAJE RUTAS DEL SOL TARJETA 0596,Transporte
APP DUNKIN,Alimentación
INSTITUTO CIBERTEC TARJETA 7157,Educación
LABORATORIO CLINICO ROCHE.COM,Salud
TELMEX INTERNET OP243123,Servicios
CARREFOUR.COM,Alimentación
COD SUBTE BUENOS AIRES,Transporte
METRO SANTIAGO APROOB549189,Transporte
FARMACIA BENAVIDES #684617,Salud
COMPRA POS PAGO PENSION UNIVERSIDAD,Educación
COMPRA ML*COMPRA PUEBLA,Compras
